url,city,name
http://www.datacentermap.com/usa/minnesota/duluth/involta-duluth.html,Duluth,Involta-Duluth
http://www.datacentermap.com/ireland/dublin/digiweb-datacentre.html,Dublin,Digiweb Datacentre
http://www.datacentermap.com/ireland/dublin/bt-dublin-citywest.html,Dublin,BT Ireland (Site 1)
http://www.datacentermap.com/ireland/dublin/interxion-ireland-dub2.html,Dublin,"Interxion DUB2 (Dublin, Ireland)"
http://www.datacentermap.com/ireland/dublin/interxion-dublin.html,Dublin,"Interxion DUB1 (Dublin, Ireland)"
http://www.datacentermap.com/germany/duesseldorf/equinix-dusseldorf.html,Düsseldorf,Equinix Düsseldorf
http://www.datacentermap.com/usa/pennsylvania/ebensburg/south-park-building.html,Ebensburg,viLogics_South Park Building
http://www.datacentermap.com/germany/duesseldorf/interxion-dusseldorf.html,Düsseldorf,Interxion DUS1 (Düsseldorf)
http://www.datacentermap.com/usa/california/el-segundo/equinix-el-segundo.html,El Segundo,Equinix El Segundo
http://www.datacentermap.com/germany/erfurt/keyweb-data-center.html,Erfurt,Keyweb Data Center
http://www.datacentermap.com/united-kingdom/essex/chunky-dc1.html,Essex,Chunky DC1
http://www.datacentermap.com/india/faridabad/faridabad-dc.html,Faridabad,Faridabad DC
http://www.datacentermap.com/morocco/fez/hostoweb-maroc.html,Fez,HOSTOWEB.COM
http://www.datacentermap.com/usa/michigan/flint/riverfront-dc2.html,Flint,Riverfront DC2
http://www.datacentermap.com/germany/frankfurt/global-switch-frankfurt.html,Frankfurt,Global Switch Frankfurt
http://www.datacentermap.com/the-bahamas/freeport/freeport-idc.html,Freeport,Freeport IDC
http://www.datacentermap.com/germany/frankfurt/ntt-frankfurt2.html,Frankfurt,Germany Frankfurt 2
http://www.datacentermap.com/germany/frankfurt/first-colo.html,Frankfurt,First Colo Datacenter
http://www.datacentermap.com/germany/frankfurt/equinix-frankfurt-north.html,Frankfurt,Equinix Frankfurt North
http://www.datacentermap.com/germany/frankfurt/equinix-frankfurt-city.html,Frankfurt,Equinix Frankfurt City
http://www.datacentermap.com/germany/frankfurt/colt-frankfurt1.html,Frankfurt,Colt Frankfurt 1
http://www.datacentermap.com/japan/fukuoka/telehouse-fukuoka.html,Fukuoka,TELEHOUSE Fukuoka
http://www.datacentermap.com/norway/gaupne/bluefjords-as.html,Gaupne,BlueFjords AS
http://www.datacentermap.com/germany/frankfurt/bt-fra-sossenheim.html,Frankfurt,BT Data Center Frankfurt-Sossenheim
http://www.datacentermap.com/germany/frankfurt/interxion-fra9.html,Frankfurt,"Interxion FRA9 (Frankfurt, Germany)"
http://www.datacentermap.com/germany/frankfurt/interxion-fra8.html,Frankfurt,"Interxion FRA8 (Frankfurt, Germany)"
http://www.datacentermap.com/germany/frankfurt/interxion-fra7.html,Frankfurt,"Interxion FRA7 (Frankfurt, Germany)"
http://www.datacentermap.com/germany/frankfurt/interxion-fra6.html,Frankfurt,"Interxion FRA6 (Frankfurt, Germany)"
http://www.datacentermap.com/germany/frankfurt/interxion-fra5.html,Frankfurt,"Interxion FRA5 (Frankfurt, Germany)"
http://www.datacentermap.com/germany/frankfurt/interxion-frankfurt4.html,Frankfurt,"Interxion FRA4 (Frankfurt, Germany)"
http://www.datacentermap.com/germany/frankfurt/interxion-frankfurt3.html,Frankfurt,"Interxion FRA3 (Frankfurt, Germany)"
http://www.datacentermap.com/germany/frankfurt/interxion-frankfurt2.html,Frankfurt,"Interxion FRA2 (Frankfurt, Germany)"
http://www.datacentermap.com/germany/frankfurt/interxion-frankfurt1.html,Frankfurt,"Interxion FRA1 (Frankfurt, Germany)"
http://www.datacentermap.com/switzerland/geneva/diii.html,Geneva,Infomaniak DIII
http://www.datacentermap.com/france/geneva-fr/thdglobal2.html,Geneva FR,THDGlobal2
http://www.datacentermap.com/switzerland/geneva/infomaniak-dii.html,Geneva,Infomaniak DII
http://www.datacentermap.com/switzerland/geneva/equinix-gv2.html,Geneva,Equinix GV2
http://www.datacentermap.com/switzerland/geneva/equinix-geneva.html,Geneva,Equinix Geneva
http://www.datacentermap.com/france/geneva-fr/rges.html,Geneva FR,THDGlobal1
http://www.datacentermap.com/cayman-islands/george-town/bic2.html,George Town,BIC2
http://www.datacentermap.com/gibraltar/gibraltar/continent8-gibraltar.html,Gibraltar,Continent 8 Gibraltar
http://www.datacentermap.com/united-kingdom/glasgow/iomart-glasgow-dc1.html,Glasgow,Iomart Glasgow DC1
http://www.datacentermap.com/brazil/goiania/link-data-center.html,Goiania,Link Data Center
http://www.datacentermap.com/usa/michigan/grand-rapids/riverfront-dc4.html,Grand Rapids,Riverfront DC4
http://www.datacentermap.com/poland/grodzisk-mazowiecki/plus-data-center.html,Grodzisk Mazowiecki,Plus Data Center
http://www.datacentermap.com/the-netherlands/groningen/tcn-sig-eemsdelta.html,Groningen,Data Hotel Eemshaven
