description,title,country,region,postal code,locality,extend address,name
"
	Colocation America 701 S. Lasalle is located in the area Chicago, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 19-02-2013.",Colocation America 701 S. Lasalle,USA,Illinois,60605,Chicago,Colocation America 701 S. Lasalle,Colocation America
"
	Telx NJR3 - Clifton is located in the area Hudson County, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-10-2013.",Telx NJR3 - Clifton,USA,New Jersey,07014,Clifton,Telx NJR3 - Clifton,Digital Realty
"
	Colocation America 1331 Business is located in the area Chicago, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 20-02-2013.",Colocation America 1331 Business,USA,Illinois,60056,Mt. Prospect,Colocation America 1331 Business,Colocation America
"
	Colocation America 600 W Chicago Av is located in the area Chicago, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 20-02-2013.",Colocation America 600 W Chicago Av,USA,Illinois,60654,Chicago,Colocation America 600 W Chicago Av,Colocation America
"
	Colocation America 1905 Lunt ave is located in the area Chicago, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 20-02-2013.",Colocation America 1905 Lunt ave,USA,Illinois,60007,Elk Grove Village,Colocation America 1905 Lunt ave,Colocation America
"
	Colocation America 2425 Busse Rd. is located in the area Chicago, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 20-02-2013.",Colocation America 2425 Busse Rd.,USA,Illinois,60005,Arlington Heights,Colocation America 2425 Busse Rd.,Colocation America
"
	Internap Japan Tokyo Inzai DC is located in the area Tokyo, Japan, and the colocation data center is  carrier neutral. The data center was last updated on 02-02-2016.",Internap Japan Tokyo Inzai DC,Japan,"Inzai, Chiba",270-1350,Tokyo,Internap Japan Tokyo Inzai DC,"Internap Japan Co.,ltd."
"
	CyrusOne Chicago is located in the area Chicago, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 20-02-2013.",CyrusOne Chicago,USA,Illinois,60148,Lombard,CyrusOne Chicago,CyrusOne Data Centers
"
	Internap Japan Tokyo Shiohama DC is located in the area Tokyo, Japan, and the colocation data center is  carrier neutral. The data center was last updated on 02-02-2016.",Internap Japan Tokyo Shiohama DC,Japan,"Koto-Ku, Tokyo",135-0043,Tokyo,Internap Japan Tokyo Shiohama DC,"Internap Japan Co.,ltd."
"
	Internap Japan Osaka Data Center is located in the area Osaka, Japan, and the colocation data center is  carrier neutral. The data center was last updated on 02-02-2016.",Internap Japan Osaka Data Center,Japan,Osaka-shi,556,Osaka,Internap Japan Osaka Data Center,"Internap Japan Co.,ltd."
"
	Internap Japan Tokyo Palace is located in the area Tokyo, Japan, and the colocation data center is  carrier neutral. The data center was last updated on 02-02-2016.",Internap Japan Tokyo Palace,Japan,"Chiyoda-ku, Tokyo",100-0004,Tokyo,Internap Japan Tokyo Palace,"Internap Japan Co.,ltd."
"
	ViaWest - Las Vegas Lone Mountain is located in the area Las Vegas, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-10-2015.",ViaWest - Las Vegas Lone Mountain,USA,Nevada,89081,North Las Vegas,ViaWest - Las Vegas Lone Mountain,"ViaWest, Inc."
"
	Internap Japan Tokyo Kasai DC is located in the area Tokyo, Japan, and the colocation data center is  carrier neutral. The data center was last updated on 02-02-2016.",Internap Japan Tokyo Kasai DC,Japan,"edogawa, Tokyo",134-0086,Tokyo,Internap Japan Tokyo Kasai DC,"Internap Japan Co.,ltd."
"
	INTERNETPORT is located in the area Hudiksvall, Sweden (Sverige), and the colocation data center is not  carrier neutral. The data center was last updated on 07-10-2015.",INTERNETPORT,Sweden,se,824 50,Hudiksvall,INTERNETPORT,Internetport Sweden ab
"
	InfoRelay IAD4 - Herndon Virginia is located in the area Ashburn, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-12-2013.",InfoRelay IAD4 - Herndon Virginia,USA,Virginia,20171,Herndon,InfoRelay IAD4 - Herndon Virginia,InfoRelay Online Systems Inc.
"
	CyrusOne Carrollton is located in the area Dallas, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-08-2013.",CyrusOne Carrollton,USA,Texas,75007,Carrollton,CyrusOne Carrollton,CyrusOne Data Centers
"
	CyrusOne Houston (Greenspoint) is located in the area Houston, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 22-08-2013.",CyrusOne Houston (Greenspoint),USA,Texas,77060,Houston,CyrusOne Houston (Greenspoint),CyrusOne Data Centers
"
	CyrusOne San Antonio is located in the area San Antonio, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-08-2013.",CyrusOne San Antonio,USA,Texas,78251,San Antonio,CyrusOne San Antonio,CyrusOne Data Centers
"
	CyrusOne Cincinnati (Gold Coast) is located in the area Cincinnati, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-08-2013.",CyrusOne Cincinnati (Gold Coast),USA,Ohio,45249,Cincinnati,CyrusOne Cincinnati (Gold Coast),CyrusOne Data Centers
"
	CyrusOne Ohio (Blue Ash) is located in the area Cincinnati, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-08-2013.",CyrusOne Ohio (Blue Ash),USA,Ohio,45242,Blue Ash,CyrusOne Ohio (Blue Ash),CyrusOne Data Centers
"
	CyrusOne Cincinnati (Lebanon) is located in the area Lebanon, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-08-2013.",CyrusOne Cincinnati (Lebanon),USA,Ohio,45036,Lebanon,CyrusOne Cincinnati (Lebanon),CyrusOne Data Centers
"
	CyrusOne Ohio (Hamilton) is located in the area Cincinnati, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-08-2013.",CyrusOne Ohio (Hamilton),USA,Ohio,45011,Hamilton,CyrusOne Ohio (Hamilton),CyrusOne Data Centers
"
	CyrusOne Cincinnati is located in the area Cincinnati, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-08-2013.",CyrusOne Cincinnati,USA,Ohio,45202,Cincinnati,CyrusOne Cincinnati,CyrusOne Data Centers
"
	CyrusOne Ohio (Mason) is located in the area Cincinnati, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-08-2013.",CyrusOne Ohio (Mason),USA,Ohio,45040,Cincinnati,CyrusOne Ohio (Mason),CyrusOne Data Centers
"
	CyrusOne Kentucky (Florence) is located in the area Florence KY, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-08-2013.",CyrusOne Kentucky (Florence),USA,Kentucky,41042,Florence,CyrusOne Kentucky (Florence),CyrusOne Data Centers
"
	CyrusOne Phoenix (Chandler) is located in the area Phoenix, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-08-2013.",CyrusOne Phoenix (Chandler),USA,Arizona,85286,Chandler,CyrusOne Phoenix (Chandler),CyrusOne Data Centers
"
	Amatis Newbury is located in the area Berkshire, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 26-09-2016.",Amatis Newbury,United Kingdom,,RG14 2EZ,Newbury,Amatis Newbury,Amatis Networks Ltd
"
	Jurong Data Center: 29A Intl. Business Park is located in the area Singapore, Singapore, and the colocation data center is  carrier neutral. The data center was last updated on 27-08-2013.",Jurong Data Center: 29A Intl. Business Park,Singapore,,609934,Jurong,Jurong Data Center: 29A Intl. Business Park,Digital Realty
"
	Link33 is located in the area Berkshire, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 24-09-2013.",Link33,United Kingdom,,RG2 0QS,Reading,Link33,Everest Data Centres
"
	CoreSite Secaucus (NY2) is located in the area New York, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-11-2016.",CoreSite Secaucus (NY2),USA,New York,07094,Secaucus,CoreSite Secaucus (NY2),CoreSite
"
	Digital Realty Data Center is located in the area Sydney (New South Wales), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 07-04-2016.",Digital Realty Data Center,Australia,New South Wales,2759,Sydney,Digital Realty Data Center,Digital Realty
"
	New Continuum Data Centers is located in the area Aurora, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 05-02-2016.",New Continuum Data Centers,USA,Illinois,60185,West Chicago,,New Continuum Data Centers
"
	DataSite Boise is located in the area Boise, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 03-01-2014.",DataSite Boise,USA,Idaho,83709,Boise,DataSite Boise,DataSite
"
	Coloblox - Smyrna is located in the area Atlanta, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 09-03-2015.",Coloblox - Smyrna,USA,Georgia,30339,Smyrna,Coloblox - Smyrna,Coloblox
"
	AFS Center is located in the area Phoenix, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 15-01-2014.",AFS Center,USA,Arizona,85282,Tempe,,AFS Center
"
	Web Werks Pune Data Center is located in the area Pune, India, and the colocation data center is  carrier neutral. The data center was last updated on 16-01-2014.",Web Werks Pune Data Center,India,Maharashtra,411027,Hinjewadi,Web Werks Pune Data Center,Web Werks India Pvt. Ltd.
"
	Web Werks Navi Mumbai Data Center is located in the area Navi Mumbai, India, and the colocation data center is  carrier neutral. The data center was last updated on 30-06-2016.",Web Werks Navi Mumbai Data Center,India,Maharashtra,400701,Thane,Web Werks Navi Mumbai Data Center,Web Werks India Pvt. Ltd.
"
	325 Hudson is located in the area New York, USA (America).",325 Hudson,,,,,,
"
	ROOT Data Center - MTL-R1 is located in the area Montreal, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 31-10-2016.",ROOT Data Center - MTL-R1,Canada,QC,H8N2J8,LaSalle (Montreal),ROOT Data Center - MTL-R1,ROOT Data Center
"
	Web Werks New Delhi is located in the area New Delhi, India, and the colocation data center is  carrier neutral. The data center was last updated on 24-01-2014.",Web Werks New Delhi,India,,110058,New Delhi,Web Werks New Delhi,Web Werks India Pvt. Ltd.
"
	I2B Networks is located in the area San Diego, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 03-04-2014.",I2B Networks,USA,California,92123,San Diego,I2B Networks,"I2B Networks, Inc"
"
	centron Datacenter is located in the area Bamberg, Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 28-11-2016.",centron Datacenter,Germany,Bavaria,96103,Hallstadt,centron Datacenter,centron GmbH
"
	NYI - New Jersey is located in the area Bridgewater, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 18-07-2014.",NYI - New Jersey,USA,New Jersey,08807,Bridgewater,NYI - New Jersey,NYI (New York Internet Company)
"
	1-Net East is located in the area Singapore, Singapore, and the colocation data center is  carrier neutral. The data center was last updated on 29-07-2016.",1-Net East,Singapore,Singapore,000000,Singapore,1-Net East,1-Net Singapore Pte Ltd
"
	ViaWest - Phoenix is located in the area Phoenix, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-10-2015.",ViaWest - Phoenix,USA,Arizona,85027,Phoenix,ViaWest - Phoenix,"ViaWest, Inc."
"
	Data Center Rio is located in the area Rio de Janeiro, Brazil (Brasil), and the colocation data center is  carrier neutral. The data center was last updated on 22-04-2014.",Data Center Rio,Brazil,Rio de Janeiro,20941-140,Rio de Janeiro,Data Center Rio,NB Telecom
"
	Caronet Engineered Hosting is located in the area Charlotte, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 20-11-2014.",Caronet Engineered Hosting,USA,North Carolina,28217,Charlotte,Caronet Engineered Hosting,Caronet
"
	ViaWest - Twin Cities is located in the area Minneapolis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-10-2015.",ViaWest - Twin Cities,USA,Minnesota,55318,Chaska,ViaWest - Twin Cities,"ViaWest, Inc."
"
	ViaWest - Compark is located in the area Denver, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-10-2015.",ViaWest - Compark,USA,Colorado,80112,Englewood,ViaWest - Compark,"ViaWest, Inc."
"
	Mid-Range is located in the area Toronto, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 09-01-2017.",Mid-Range,Canada,Ontario,L3R1A9,Markham,,Mid-Range
